DishName,MajorIngredients,Calories,Proteins,Fat,Carbs,Fiber,Sodium,Potassium,Cholesterol,SugarContent,DietaryInfo,ServingSize,MealType,DishCategory
Idli,"Rice, Urad Dal",150,4.0,1.0,30,1.0,200,100,Low,1,"Low fat, gluten-free",2 idlis,Breakfast,Vegetarian
Vada,"Urad Dal, Rice Flour",200,5.0,10.0,20,2.0,300,150,Moderate,2,"Deep-fried, protein-rich",2 vadas,Breakfast,Vegetarian
Upma,"Semolina, Vegetables",180,4.0,5.0,30,3.0,250,100,Low,1,"Light, easy to digest",1 bowl,Breakfast,Vegetarian
Pongal,"Rice, Moong Dal",220,6.0,6.0,35,2.0,200,120,Low,1,"High protein, low fat",1 bowl,Breakfast,Vegetarian
Dosa,"Rice, Urad Dal",170,4.0,3.0,35,1.0,200,100,Low,1,"Light, gluten-free",1 dosa,Breakfast,Vegetarian
Pesarattu,"Green Gram, Rice",200,6.0,3.0,35,4.0,200,200,Low,1,Rich in protein,1 serving,Breakfast,Vegetarian
Rava Kesari,"Semolina, Ghee",250,3.0,10.0,40,2.0,150,80,Moderate,20,"Sweet, high calorie",1 serving,Breakfast,Vegetarian
Kanchipuram Idli,"Rice, Urad Dal",160,5.0,1.0,32,1.0,180,110,Low,1,"Steamed, low calorie",2 idlis,Breakfast,Vegetarian
Kozhukattai,"Rice Flour, Jaggery",180,3.0,6.0,35,3.0,120,90,Low,10,"Sweet, high fiber",2 pieces,Breakfast,Vegetarian
Appam,"Rice, Coconut Milk",210,4.0,5.0,38,2.0,130,120,Low,5,"Light, rich in carbs",1 appam,Breakfast,Vegetarian
Chicken Dosa,"Rice, Urad Dal, Chicken",250,12.0,8.0,30,1.5,220,100,Moderate,0,"Protein-rich, balanced",1 piece,Breakfast,Non-Vegetarian
Mutton Kheema Dosa,"Rice, Urad Dal, Mutton Kheema",350,15.0,15.0,35,2.0,300,120,Moderate,0,"High protein, filling",1 piece,Breakfast,Non-Vegetarian
Egg Appam,"Rice, Coconut Milk, Eggs",220,7.0,7.0,28,1.5,150,70,Moderate,1,Soft and nutritious,1 piece,Breakfast,Non-Vegetarian
Egg Bhurji with Upma,"Semolina, Eggs, Spices",250,10.0,10.0,25,2.5,350,80,Moderate,1,"Protein-packed, spicy",1 cup,Breakfast,Non-Vegetarian
Chicken Puttu,"Rice Flour, Chicken, Coconut",230,11.0,6.0,30,3.0,220,60,Moderate,1,"High protein, high fiber",1 piece,Breakfast,Non-Vegetarian
Fish Curry Idli,"Rice, Urad Dal, Fish Curry",260,12.0,8.0,30,1.0,250,90,Moderate,1,"Balanced meal, flavorful",2 pieces,Breakfast,Non-Vegetarian
Chicken Pongal,"Rice, Moong Dal, Chicken",280,14.0,9.0,35,2.0,260,100,Moderate,0,"Comforting, nutritious",1 cup,Breakfast,Non-Vegetarian
Prawn Upma,"Semolina, Prawns, Vegetables",240,15.0,6.0,30,2.5,300,90,Moderate,1,Rich in protein and fiber,1 cup,Breakfast,Non-Vegetarian
Egg Dosa,"Rice, Urad Dal, Eggs",220,9.0,6.0,30,1.0,200,70,Moderate,0,"High protein, filling",1 piece,Breakfast,Non-Vegetarian
Mutton Keema Idli,"Rice, Urad Dal, Mutton Keema",280,12.0,10.0,30,1.0,270,110,Moderate,0,Rich in protein and flavor,2 pieces,Breakfast,Non-Vegetarian
Sambar Rice,"Rice, Lentils, Tamarind, Vegetables",230,6.0,4.0,40,5.0,350,200,Low,3,"High fiber, nutrient-dense",1 bowl,Lunch,Vegetarian
Curd Rice,"Rice, Curd, Tempering Spices",200,6.0,4.5,30,1.0,400,100,Low,4,"Cooling, easy to digest",1 bowl,Lunch,Vegetarian
Vegetable Biryani,"Basmati Rice, Mixed Vegetables, Spices",250,5.0,5.0,45,4.0,600,250,Moderate,2,"Aromatic, rich in vegetables",1 plate,Lunch,Vegetarian
Avial,"Mixed Vegetables, Coconut, Curd",180,3.5,8.0,20,5.0,200,150,Low,3,"Creamy, rich in vitamins",1 bowl,Lunch,Vegetarian
Puliyodarai,"Rice, Tamarind, Spices, Peanuts",230,4.0,8.0,35,3.0,500,200,Moderate,2,"Tangy, flavorful",1 bowl,Lunch,Vegetarian
Paruppu Usili,"Green Beans, Toor Dal, Spices",200,8.0,6.0,20,5.0,300,150,Low,1,"High protein, crunchy",1 bowl,Lunch,Vegetarian
Rasam Rice,"Rice, Tomato, Tamarind, Spices",190,4.0,2.0,35,2.0,400,150,Low,2,"Light, tangy",1 bowl,Lunch,Vegetarian
Lemon Rice,"Rice, Lemon, Spices, Peanuts",220,4.0,7.0,35,3.0,500,120,Low,2,"Refreshing, tangy",1 bowl,Lunch,Vegetarian
Mor Kuzhambu,"Buttermilk, Vegetables, Coconut, Spices",180,4.0,7.0,15,3.0,300,100,Low,2,"Creamy, probiotic-rich",1 bowl,Lunch,Vegetarian
Kootu,"Mixed Vegetables, Moong Dal, Coconut",190,6.0,5.0,20,4.0,200,120,Low,1,"Mild, rich in protein and fiber",1 bowl,Lunch,Vegetarian
